id_Ville,Num_Dep,Nom_Ville,Longitude,Latitude
406,1,SUTRIEU,5.65,45.95
407,1,SERRIERES-DE-BRIORD,5.45445,45.8081
408,1,ARANC,5.5,46
409,1,CHALEY,5.53333,45.95
410,1,CURCIAT-DONGALON,5.15,46.4667
411,1,LOYETTES,5.2,45.7667
412,1,GEX,6.06667,46.3333
413,1,COURTES,5.1,46.4667
414,1,BEREZIAT,5.05,46.3667
415,1,LAPEYROUSE,4.96667,45.9833
416,1,APREMONT,5.65833,46.2083
417,1,VILLIEU-LOYES-MOLLON,5.22223,45.9206
418,1,LEYMENT,5.3,45.9167
419,1,ETREZ,5.18333,46.3333
420,2,GERCY,3.86667,49.8167
421,2,VILLEMONTOIRE,3.33333,49.3
422,2,BRANCOURT-LE-GRAND,3.38333,49.9667
423,2,LICY-CLIGNON,3.26667,49.1
424,2,PROISY,3.73333,49.9
425,2,CHAMBRY,3.65,49.6
426,2,MONT-SAINT-JEAN,4.2,49.7833
427,2,MORGNY-EN-THIERACHE,4.06667,49.7667
428,2,MESNIL-SAINT-LAURENT,3.35,49.8333
429,2,ANNOIS,3.16667,49.7167
430,2,BRUNEHAMEL,4.18333,49.7667
431,2,AUDIGNICOURT,3.13333,49.4833
432,2,MONTIGNY-SUR-CRECY,3.58333,49.7167
433,2,LOR,4.05,49.5333
434,2,CHIVRES-EN-LAONNOIS,3.85,49.6333
435,2,SAINT-GOBAIN,3.38333,49.6
436,2,UGNY-LE-GAY,3.16667,49.6667
437,2,HAPPENCOURT,3.18333,49.7833
438,2,PROUVAIS,3.98333,49.4667
439,2,AZY-SUR-MARNE,3.36667,49
440,2,TERNY-SORNY,3.36667,49.45
441,2,DROIZY,3.38333,49.2833
442,2,PIGNICOURT,4.03333,49.4167
443,2,MOUSSY-VERNEUIL,3.63333,49.4167
444,2,AGUILCOURT,3.96667,49.4
445,2,MONTAIGU,3.83333,49.5333
446,2,MOULINS,3.68333,49.4167
447,2,SAULCHERY,3.3,48.9833
448,2,NANTEUIL-LA-FOSSE,3.45,49.4333
449,2,GUIGNICOURT,3.96667,49.4333
450,2,BUCY-LE-LONG,3.38333,49.4
451,2,LONGPONT,3.21667,49.2667
452,2,MONTGOBERT,3.15,49.3
453,2,NOIRCOURT,4.1,49.6667
454,2,ROZET-SAINT-ALBIN,3.3,49.2
455,2,CHIVY-LES-ETOUVELLES,3.58333,49.5167
456,2,CHAVONNE,3.56667,49.4
457,2,ARTONGES,3.55,48.9333
458,2,OISY,3.66667,50.0167
459,2,JUVIGNY,3.31667,49.45
460,2,MARCHAIS-EN-BRIE,3.48333,48.8833
461,2,BOUCONVILLE-VAUCLAIR,3.75556,49.4656
462,2,LA BOUTEILLE,3.96667,49.8667
463,2,LY-FONTAINE,3.3,49.7167
464,2,LOGNY-LES-AUBENTON,4.2,49.8333
465,2,CUIRIEUX,3.81667,49.6833
466,2,IRON,3.66667,49.95
467,2,JONCOURT,3.3,49.95
468,2,EFFRY,4,49.9333
469,2,JUMIGNY,3.71667,49.4167
470,2,CHAOURSE,4,49.7
471,2,SAINT-REMY-BLANZY,3.3,49.2333
472,2,BEAUMONT-EN-BEINE,3.13333,49.7
473,2,LE PLESSIER-HULEU,3.35,49.2333
474,2,ESTREES,3.28333,49.9667
475,2,BAULNE-EN-BRIE,3.61667,48.9833
476,2,GUIVRY,3.11667,49.65
477,2,VARISCOURT,3.98333,49.4167
478,2,CHATILLON-SUR-OISE,3.4,49.7833
479,2,SOISSONS,3.33333,49.3667
480,2,BRAY-SAINT-CHRISTOPHE,3.15,49.7667
481,2,LE HERIE-LA-VIEVILLE,3.63333,49.8167
482,2,AUBENTON,4.2,49.8333
483,2,BRAYE,3.36667,49.4333
484,2,BRISSAY-CHOIGNY,3.36667,49.7167
485,2,REMAUCOURT,3.33333,49.9
486,2,SERAUCOURT-LE-GRAND,3.21667,49.7833
487,2,BERRY-AU-BAC,3.9,49.4
488,2,VIVAISE,3.56667,49.6167
489,2,PROVISEUX-ET-PLESNOY,4,49.4667
490,2,CAUMONT,3.18333,49.6167
491,2,VILLERS-LE-SEC,3.5,49.7833
492,2,VICHEL-NANTEUIL,3.28333,49.1833
493,2,ROMERY,3.73333,49.9
494,2,FONTAINE-LES-CLERCS,3.21667,49.8
495,2,CHERY-LES-POUILLY,3.6,49.65
496,2,PITHON,3.1,49.75
497,2,BEAURIEUX,3.73333,49.4
498,2,SINCENY,3.25,49.6
499,2,BOUFFIGNEREUX,3.85,49.3667
500,2,SAINT-GENGOULPH,3.21667,49.1167
501,2,PARGNY-LES-BOIS,3.61667,49.7167
502,2,MONTIGNY-L'ALLIER,3.1,49.1167
503,2,BEUVARDES,3.48333,49.15
504,2,CUISSY-ET-GENY,3.7,49.4167
505,2,REUILLY-SAUVIGNY,3.55,49.0667
506,2,VAILLY-SUR-AISNE,3.51667,49.4167
507,2,BIEVRES,3.71667,49.5
508,2,BERNY-RIVIERE,3.15,49.4167
509,2,PERLES,3.65,49.3167
510,2,FONTENELLE-EN-BRIE,3.48333,48.9167
511,2,NEUFLIEUX,3.16667,49.6
512,2,SAINTE-CROIX,3.78333,49.4833
513,2,PARGNY-LA-DHUYS,3.55,48.95
514,2,BRENELLE,3.53333,49.3667
515,2,URVILLERS,3.31667,49.7833
516,2,LAVERSINE,3.16667,49.35
517,2,ORIGNY-SAINTE-BENOITE,3.5,49.8333
518,2,CUIRY-HOUSSE,3.48333,49.3
519,2,LA NEUVILLE-LES-DORENGT,3.68333,49.9667
520,2,BLANZY-LES-FISMES,3.66667,49.3333
521,2,HARGICOURT,3.18,49.9623
522,2,VILLERS-SUR-FERE,3.53333,49.1833
523,2,LA HERIE,4.05,49.8833
524,2,BONNESVALYN,3.31667,49.1167
525,2,HAUTION,3.83333,49.85
526,2,BERZY-LE-SEC,3.31667,49.3333
527,2,LA VALLEE-AU-BLE,3.78333,49.8667
528,2,LE CATELET,3.25,50
529,2,GIZY,3.76667,49.6
530,2,SAINT-ALGIS,3.81667,49.8833
531,2,SAINT-AUBIN,3.18333,49.5167
532,2,BANCIGNY,4.01667,49.8
533,2,VILLENEUVE-SUR-FERE,3.46667,49.1833
534,2,FLEURY,3.15639,49.2581
535,2,QUINCY-SOUS-LE-MONT,3.55,49.3
536,2,BESNY-ET-LOIZY,3.58333,49.6
537,2,CHERY-LES-ROZOY,4.08333,49.7167
538,2,CHAUNY,3.21667,49.6167
539,2,SOMMETTE-EAUCOURT,3.11667,49.7333
540,2,LIERVAL,3.61667,49.4833
541,2,CHEZY-SUR-MARNE,3.36667,48.9833
542,2,OULCHES-LA-VALLEE-FOULON,3.75,49.4333
543,2,ANIZY-LE-CHATEAU,3.45,49.5
544,2,MAIZY,3.73333,49.3833
545,2,FOURDRAIN,3.46667,49.6
546,2,NAMPTEUIL-SOUS-MURET,3.41667,49.3
547,2,URCEL,3.55,49.5
